Name,URL,Team,Age,RestrictArea_FGM,RestrictArea_FGA,RestrictArea_FGpercent,Paint_FGM,Paint_FGA,Paint_FGpercent,MidRange_FGM,MidRange_FGA,MidRange_FGpercent,LeftCorner3_FGM,LeftCorner3_FGA,LeftCorner3_FGpercent,RightCorner3_FGM,RightCorner3_FGA,RightCorner3_FGpercent,Totals_FGM,Totals_FGA,Totals_FGpercent,AboveBreak3_FGM,AboveBreak3_FGA,AboveBreak3_FGpercent
AJ Hammons,/stats/player/1627773/,DAL,24.0,0.2,0.4,55.6,0.0,0.3,0.0,0.4,0.9,38.9,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.3,0.4,62.5
Aaron Brooks,/stats/player/201166/,IND,32.0,0.5,1.0,43.9,0.3,0.7,38.1,0.4,1.0,43.8,0.1,0.1,66.7,0.0,0.2,22.2,0.1,0.3,40.0,0.6,1.6,39.6
Aaron Gordon,/stats/player/203932/,ORL,21.0,2.7,4.1,67.6,0.4,1.0,33.7,0.9,2.4,36.1,0.1,0.5,27.8,0.1,0.4,27.3,0.2,0.9,27.5,0.7,2.4,29.7
Aaron Harrison,/stats/player/1626151/,CHA,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0
Adreian Payne,/stats/player/203940/,MIN,26.0,0.6,1.1,52.6,0.1,0.4,33.3,0.5,0.8,57.1,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.2,0.7,23.1
Al Horford,/stats/player/201143/,BOS,31.0,1.9,2.8,68.6,1.0,2.3,44.3,1.4,3.1,43.8,0.0,0.1,33.3,0.2,0.4,37.9,0.2,0.6,36.8,1.1,3.0,35.3
Al Jefferson,/stats/player/2744/,IND,32.0,1.6,2.5,64.5,1.2,2.4,50.0,0.7,2.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al-Farouq Aminu,/stats/player/202329/,POR,26.0,1.3,2.7,49.1,0.3,0.9,39.6,0.2,0.6,31.6,0.2,0.6,31.4,0.3,0.8,39.5,0.5,1.3,35.9,0.7,2.2,31.8
Alan Anderson,/stats/player/101187/,LAC,34.0,0.4,0.6,70.6,0.0,0.2,20.0,0.1,0.5,21.4,0.0,0.4,10.0,0.1,0.3,42.9,0.1,0.6,23.5,0.3,0.9,37.0
Alan Williams,/stats/player/1626210/,PHX,24.0,2.0,3.2,61.4,1.0,2.4,40.4,0.2,0.4,41.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alec Burks,/stats/player/202692/,UTA,25.0,0.7,1.8,40.3,0.4,0.9,47.4,0.6,1.4,43.9,0.1,0.5,29.4,0.2,0.3,54.5,0.3,0.7,39.3,0.3,1.1,29.2
Alex Abrines,/stats/player/203518/,OKC,23.0,0.3,0.6,47.6,0.1,0.3,45.5,0.2,0.5,33.3,0.2,0.6,43.3,0.2,0.5,37.9,0.4,1.0,40.7,1.0,2.8,37.3
Alex Len,/stats/player/203458/,PHX,24.0,2.1,3.5,61.7,0.5,1.2,38.5,0.4,1.2,29.8,0.0,0.1,28.6,0.0,0.0,0.0,0.0,0.1,28.6,0.0,0.0,33.3
Alex Poythress,/stats/player/1627816/,PHI,23.0,2.7,4.7,57.1,0.2,0.5,33.3,0.3,0.7,50.0,0.3,0.7,50.0,0.2,0.3,50.0,0.5,1.0,50.0,0.5,2.2,23.1
Alexis Ajinca,/stats/player/201582/,NOP,29.0,1.2,1.8,66.7,0.4,1.0,42.5,0.6,1.6,38.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Allen Crabbe,/stats/player/203459/,POR,25.0,0.8,1.4,60.9,0.4,0.8,46.7,0.9,2.2,42.3,0.3,0.6,45.7,0.2,0.5,38.5,0.5,1.1,42.4,1.2,2.7,45.2
Alonzo Gee,/stats/player/202087/,DEN,30.0,0.3,0.6,42.9,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.1,0.0
Amir Johnson,/stats/player/101161/,BOS,30.0,1.8,2.7,67.5,0.5,1.0,49.4,0.1,0.2,30.8,0.0,0.1,28.6,0.1,0.2,35.7,0.1,0.3,33.3,0.3,0.6,44.4
Anderson Varejao,/stats/player/2760/,GSW,34.0,0.1,0.6,25.0,0.1,0.3,50.0,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Drummond,/stats/player/203083/,DET,23.0,4.0,6.0,65.6,1.5,3.8,39.0,0.5,1.3,37.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3
