Name,URL,Team,Age,RestrictArea_FGM,RestrictArea_FGA,RestrictArea_FGpercent,Paint_FGM,Paint_FGA,Paint_FGpercent,MidRange_FGM,MidRange_FGA,MidRange_FGpercent,LeftCorner3_FGM,LeftCorner3_FGA,LeftCorner3_FGpercent,RightCorner3_FGM,RightCorner3_FGA,RightCorner3_FGpercent,Totals_FGM,Totals_FGA,Totals_FGpercent,AboveBreak3_FGM,AboveBreak3_FGA,AboveBreak3_FGpercent
AJ Price,/stats/player/201985/,CLE,28.0,0.1,0.3,28.6,0.5,1.0,54.2,0.8,2.0,42.9,0.1,0.3,20.0,0.0,0.1,0.0,0.0,0.3,14.3,0.6,2.0,28.0
Aaron Brooks,/stats/player/201166/,CHI,30.0,1.5,3.1,48.4,0.6,1.4,43.9,0.6,1.7,36.8,0.1,0.3,19.0,0.1,0.3,52.9,0.2,0.5,34.2,1.3,3.3,39.6
Aaron Gordon,/stats/player/203932/,ORL,19.0,1.3,2.2,61.8,0.3,0.7,35.3,0.1,0.5,20.8,0.1,0.3,20.0,0.2,0.4,43.8,0.2,0.6,34.6,0.1,0.4,19.0
Adreian Payne,/stats/player/203940/,MIN,24.0,1.1,2.1,51.5,0.7,1.6,44.0,1.1,3.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,12.5
Al Horford,/stats/player/201143/,ATL,29.0,2.9,4.0,72.9,1.0,2.6,40.1,2.7,5.6,48.4,0.0,0.1,27.3,0.1,0.2,44.4,0.1,0.4,37.9,0.0,0.1,0.0
Al Jefferson,/stats/player/2744/,CHA,30.0,3.0,4.9,61.3,2.2,5.0,45.2,2.2,5.6,39.2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.1,25.0
Al-Farouq Aminu,/stats/player/202329/,DAL,24.0,1.3,2.1,59.1,0.2,0.5,28.9,0.1,0.5,22.2,0.1,0.5,27.3,0.2,0.5,33.3,0.3,0.9,30.2,0.2,0.8,24.6
Alan Anderson,/stats/player/101187/,BKN,32.0,1.0,1.5,67.0,0.3,0.6,46.3,0.4,1.1,37.5,0.3,0.7,40.4,0.2,0.5,45.2,0.5,1.1,42.3,0.5,1.7,31.5
Alec Burks,/stats/player/202692/,UTA,23.0,1.7,3.6,47.9,0.6,1.9,30.0,1.3,3.2,39.5,0.1,0.3,50.0,0.2,0.4,45.5,0.3,0.6,47.1,0.7,1.8,36.7
Alex Kirk,/stats/player/203945/,CLE,23.0,0.3,0.5,50.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Len,/stats/player/203458/,PHX,22.0,1.9,3.0,63.8,0.2,0.8,32.7,0.4,1.3,31.9,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
Alexey Shved,/stats/player/203144/,NYK,26.0,1.7,3.0,54.7,0.1,0.5,14.3,0.3,1.1,27.7,0.0,0.1,25.0,0.1,0.2,42.9,0.1,0.3,36.4,1.0,3.0,34.4
Alexis Ajinca,/stats/player/201582/,NOP,27.0,1.2,2.0,59.1,0.8,1.5,56.3,0.7,1.5,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Crabbe,/stats/player/203459/,POR,23.0,0.5,0.6,81.3,0.0,0.1,33.3,0.1,0.6,16.7,0.2,0.6,31.8,0.2,0.4,53.8,0.3,0.8,40.0,0.3,1.0,32.0
Alonzo Gee,/stats/player/202087/,POR,28.0,1.2,2.2,57.9,0.1,0.3,26.7,0.1,0.4,18.2,0.2,0.4,40.0,0.2,0.5,42.9,0.3,0.7,41.4,0.0,0.1,16.7
Amar'e Stoudemire,/stats/player/2405/,DAL,32.0,3.2,4.9,66.2,0.8,1.6,49.5,0.6,1.8,34.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Amir Johnson,/stats/player/101161/,TOR,28.0,2.7,4.0,65.7,0.9,1.8,48.9,0.2,0.5,40.0,0.0,0.1,40.0,0.0,0.1,20.0,0.0,0.1,30.0,0.2,0.5,44.4
Anderson Varejao,/stats/player/2760/,CLE,32.0,2.5,3.8,65.0,0.8,1.8,43.5,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Dawkins,/stats/player/203958/,MIA,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,1.3,20.0
Andre Drummond,/stats/player/203083/,DET,21.0,4.9,8.4,58.2,1.1,2.8,37.7,0.1,0.5,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,/stats/player/2738/,GSW,31.0,1.4,1.9,74.5,0.1,0.6,24.4,0.5,1.2,38.9,0.2,0.6,35.7,0.2,0.6,27.5,0.3,1.1,31.7,0.6,1.6,38.7
Andre Miller,/stats/player/1889/,SAC,39.0,0.9,1.5,60.7,0.4,0.8,49.2,0.4,0.9,46.4,0.0,0.1,25.0,0.0,0.0,0.0,0.0,0.1,20.0,0.1,0.3,22.2
Andre Roberson,/stats/player/203460/,OKC,23.0,1.0,1.6,65.7,0.0,0.1,12.5,0.0,0.0,33.3,0.2,0.6,33.3,0.1,0.3,28.6,0.2,0.7,31.9,0.1,0.5,16.7
Andrea Bargnani,/stats/player/200745/,NYK,29.0,1.3,2.3,56.1,1.3,2.8,48.8,2.5,6.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,36.6
Andrei Kirilenko,/stats/player/1905/,BKN,34.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bogut,/stats/player/101106/,GSW,30.0,2.1,3.2,64.5,0.9,1.8,47.5,0.1,0.3,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Nicholson,/stats/player/203094/,ORL,25.0,0.6,0.8,74.2,0.4,1.0,39.5,0.8,2.1,40.0,0.1,0.3,25.0,0.0,0.2,16.7,0.1,0.4,21.4,0.3,0.7,37.0
Andrew Wiggins,/stats/player/203952/,MIN,20.0,3.1,4.8,63.2,0.8,2.2,37.5,1.7,5.2,32.1,0.1,0.3,36.4,0.1,0.1,50.0,0.2,0.4,40.6,0.3,1.1,28.0
Anthony Bennett,/stats/player/203461/,MIN,22.0,1.2,1.8,65.7,0.1,0.3,25.0,0.9,2.8,30.8,0.0,0.0,100.0,0.1,0.1,40.0,0.1,0.1,50.0,0.1,0.3,23.5
Anthony Davis,/stats/player/203076/,NOP,22.0,4.9,6.8,71.2,1.1,2.8,41.5,3.4,7.9,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,20.0
