Name,URL,Team,Age,RestrictArea_FGM,RestrictArea_FGA,RestrictArea_FGpercent,Paint_FGM,Paint_FGA,Paint_FGpercent,MidRange_FGM,MidRange_FGA,MidRange_FGpercent,LeftCorner3_FGM,LeftCorner3_FGA,LeftCorner3_FGpercent,RightCorner3_FGM,RightCorner3_FGA,RightCorner3_FGpercent,Totals_FGM,Totals_FGA,Totals_FGpercent,AboveBreak3_FGM,AboveBreak3_FGA,AboveBreak3_FGpercent
Aaron Gordon,/stats/player/203932/,DEN,25.0,2.1,3.2,67.3,0.8,1.8,45.6,0.5,1.5,32.4,0.1,0.4,38.9,0.1,0.3,29.4,0.2,0.7,34.3,0.9,2.8,34.1
Aaron Holiday,/stats/player/1628988/,IND,24.0,0.9,2.0,44.7,0.4,1.2,31.7,0.3,0.6,45.0,0.2,0.3,50.0,0.2,0.3,58.8,0.3,0.6,54.1,0.7,2.2,32.6
Aaron Nesmith,/stats/player/1630174/,BOS,21.0,0.6,0.9,64.1,0.2,0.5,38.1,0.1,0.2,50.0,0.2,0.7,28.6,0.2,0.5,50.0,0.4,1.0,36.4,0.5,1.4,37.5
Abdel Nader,/stats/player/1627846/,PHX,27.0,1.3,2.0,62.5,0.4,0.9,40.9,0.0,0.1,0.0,0.3,0.6,54.5,0.1,0.3,40.0,0.4,0.8,50.0,0.4,1.1,37.0
Adam Mokoka,/stats/player/1629690/,CHI,22.0,0.5,0.8,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.3,50.0,0.0,0.6,0.0,0.2,0.8,20.0,0.0,0.4,0.0
Al Horford,/stats/player/201143/,OKC,34.0,1.6,2.8,59.7,1.3,2.5,51.4,0.9,2.2,39.3,0.1,0.3,42.9,0.0,0.4,9.1,0.1,0.6,22.2,1.9,4.8,38.8
Al-Farouq Aminu,/stats/player/202329/,CHI,30.0,0.8,1.6,52.8,0.2,0.6,35.7,0.3,0.5,50.0,0.2,0.3,60.0,0.1,0.2,25.0,0.2,0.4,44.4,0.2,1.2,14.3
Alec Burks,/stats/player/202692/,NYK,29.0,1.0,2.0,50.0,0.5,1.5,33.8,0.7,1.7,41.5,0.4,1.0,37.5,0.4,0.6,64.3,0.7,1.6,47.4,1.3,3.5,38.8
Aleksej Pokusevski,/stats/player/1630197/,OKC,19.0,0.8,1.4,54.0,0.5,1.6,34.3,0.5,1.5,33.3,0.2,0.7,31.0,0.1,0.4,31.3,0.3,1.0,31.1,1.0,3.6,27.5
Alen Smailagic,/stats/player/1629346/,GSW,20.0,0.4,0.9,50.0,0.1,0.3,20.0,0.0,0.0,0.0,0.2,0.4,50.0,0.0,0.1,0.0,0.1,0.3,33.3,0.2,0.5,42.9
