Name,URL,Team,Age,RestrictArea_FGM,RestrictArea_FGA,RestrictArea_FGpercent,Paint_FGM,Paint_FGA,Paint_FGpercent,MidRange_FGM,MidRange_FGA,MidRange_FGpercent,LeftCorner3_FGM,LeftCorner3_FGA,LeftCorner3_FGpercent,RightCorner3_FGM,RightCorner3_FGA,RightCorner3_FGpercent,Totals_FGM,Totals_FGA,Totals_FGpercent,AboveBreak3_FGM,AboveBreak3_FGA,AboveBreak3_FGpercent
Aaron Gordon,/stats/player/203932/,ORL,24.0,3.0,4.4,67.6,0.7,1.9,35.3,0.5,2.2,25.0,0.2,0.4,37.0,0.1,0.3,27.8,0.2,0.7,33.3,0.9,3.0,31.2
Aaron Holiday,/stats/player/1628988/,IND,23.0,1.2,2.2,54.2,0.6,1.6,34.9,0.5,1.4,34.0,0.1,0.3,43.8,0.2,0.4,45.5,0.3,0.6,44.7,1.1,2.8,38.5
Abdel Nader,/stats/player/1627846/,OKC,26.0,1.0,1.5,67.9,0.3,0.7,36.8,0.1,0.3,37.5,0.2,0.5,36.0,0.2,0.4,52.9,0.4,0.8,42.9,0.5,1.6,34.9
Adam Mokoka,/stats/player/1629690/,CHI,21.0,0.5,1.1,50.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,25.0,0.3,0.7,50.0,0.3,0.8,37.5,0.3,0.6,42.9
Admiral Schofield,/stats/player/1629678/,WAS,23.0,0.3,0.6,50.0,0.1,0.2,42.9,0.1,0.2,66.7,0.3,0.5,54.5,0.2,0.6,33.3,0.4,0.8,45.0,0.3,1.3,25.0
Al Horford,/stats/player/201143/,PHI,34.0,1.6,2.4,69.6,0.6,1.7,36.0,1.0,2.3,44.6,0.1,0.2,26.7,0.1,0.4,27.3,0.1,0.6,27.0,1.3,3.7,36.2
Al-Farouq Aminu,/stats/player/202329/,ORL,29.0,0.6,1.6,35.7,0.2,0.9,25.0,0.1,0.3,33.3,0.1,0.2,50.0,0.1,0.3,16.7,0.2,0.6,30.0,0.3,1.4,23.1
Alec Burks,/stats/player/202692/,PHI,28.0,1.5,2.8,53.2,0.7,2.1,34.1,0.9,2.2,41.3,0.3,0.5,50.0,0.2,0.4,44.0,0.4,0.9,47.5,1.3,3.7,36.5
Alen Smailagic,/stats/player/1629346/,GSW,19.0,1.0,1.1,87.5,0.1,0.5,28.6,0.1,0.3,25.0,0.1,0.2,50.0,0.0,0.3,0.0,0.1,0.4,20.0,0.1,0.6,25.0
Alex Caruso,/stats/player/1627936/,LAL,26.0,1.1,1.7,64.2,0.0,0.5,9.4,0.1,0.5,22.6,0.1,0.3,29.4,0.1,0.4,31.8,0.2,0.6,30.8,0.4,1.3,35.0
Alex Len,/stats/player/203458/,SAC,27.0,2.3,3.4,68.3,0.6,1.2,48.5,0.0,0.1,14.3,0.1,0.2,55.6,0.1,0.4,27.8,0.2,0.5,37.0,0.1,0.6,19.4
Alfonzo McKinnie,/stats/player/1628035/,CLE,27.0,1.1,1.7,65.7,0.3,0.6,41.7,0.1,0.4,31.3,0.1,0.4,21.4,0.2,0.5,31.3,0.2,0.9,26.7,0.2,0.9,17.6
Alize Johnson,/stats/player/1628993/,IND,24.0,0.5,0.9,53.3,0.1,0.3,20.0,0.0,0.1,0.0,0.0,0.3,0.0,0.2,0.3,66.7,0.2,0.4,40.0,0.1,0.2,33.3
Allen Crabbe,/stats/player/203459/,MIN,28.0,0.3,0.4,75.0,0.2,0.6,28.6,0.2,0.6,40.9,0.2,0.5,33.3,0.2,0.5,47.1,0.4,0.9,40.6,0.6,2.3,27.4
Allonzo Trier,/stats/player/1629019/,NYK,24.0,0.6,1.0,62.5,0.1,0.3,28.6,0.6,0.9,68.2,0.0,0.2,0.0,0.2,0.3,75.0,0.2,0.4,42.9,0.7,1.9,34.8
Amile Jefferson,/stats/player/1628518/,ORL,27.0,0.2,0.6,28.6,0.2,0.4,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Coffey,/stats/player/1629599/,LAC,23.0,0.7,1.2,55.6,0.3,0.6,44.4,0.2,0.5,37.5,0.2,0.3,66.7,0.2,0.4,50.0,0.3,0.5,57.1,0.1,0.7,16.7
Andre Drummond,/stats/player/203083/,CLE,26.0,5.9,9.3,63.7,1.2,3.5,34.7,0.1,0.3,27.8,0.0,0.1,25.0,0.0,0.1,40.0,0.1,0.2,33.3,0.0,0.4,8.3
Andre Iguodala,/stats/player/2738/,MIA,36.0,0.9,1.2,72.0,0.0,0.2,25.0,0.2,0.6,41.7,0.0,0.3,16.7,0.3,0.8,37.5,0.3,1.0,31.8,0.3,1.1,29.2
Andre Roberson,/stats/player/203460/,OKC,28.0,0.7,1.7,41.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.2,0.0,0.0,0.6,0.0,0.4,1.3,33.3
Andrew Wiggins,/stats/player/203952/,GSW,25.0,3.7,5.5,67.4,1.5,3.9,37.6,0.9,2.5,33.8,0.2,0.6,43.3,0.1,0.3,17.6,0.3,0.9,34.0,1.8,5.3,33.1
Anfernee Simons,/stats/player/1629014/,POR,21.0,1.0,1.8,55.6,0.3,1.1,30.8,0.6,1.5,42.1,0.2,0.4,41.7,0.1,0.3,23.5,0.2,0.6,34.1,0.9,2.6,33.5
Ante Zizic,/stats/player/1627790/,CLE,23.0,1.3,2.1,60.9,0.4,0.9,47.4,0.2,0.3,57.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Davis,/stats/player/203076/,LAL,27.0,5.0,6.8,73.5,1.3,3.3,40.1,1.4,4.1,34.9,0.2,0.5,53.6,0.1,0.2,26.7,0.3,0.7,44.2,0.9,2.8,30.8
Anthony Tolliver,/stats/player/201229/,MEM,35.0,0.2,0.4,39.1,0.1,0.1,42.9,0.1,0.1,57.1,0.2,0.3,50.0,0.2,0.5,40.0,0.3,0.8,43.6,0.6,1.9,30.2
Antonius Cleveland,/stats/player/1628499/,DAL,26.0,0.3,0.8,37.5,0.1,0.2,50.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.1,0.0,0.0,0.2,0.0
Anzejs Pasecniks,/stats/player/1628394/,WAS,24.0,1.7,2.3,72.9,0.7,1.6,40.5,0.0,0.5,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Aron Baynes,/stats/player/203382/,PHX,33.0,2.1,3.3,63.5,0.8,1.4,54.2,0.1,0.4,29.4,0.0,0.3,15.4,0.1,0.3,36.4,0.1,0.6,25.0,1.3,3.4,36.8
Austin Rivers,/stats/player/203085/,HOU,27.0,1.3,2.3,57.2,0.3,0.9,32.8,0.0,0.1,37.5,0.3,0.5,62.5,0.1,0.5,25.8,0.4,0.9,44.4,1.0,3.0,32.9
Avery Bradley,/stats/player/202340/,LAL,29.0,1.0,1.6,61.8,0.3,0.7,47.1,0.9,2.0,44.0,0.4,1.0,44.7,0.2,0.7,25.0,0.6,1.7,36.1,0.7,1.8,37.1
BJ Johnson,/stats/player/1629168/,ORL,24.0,0.4,1.1,40.0,0.0,0.1,0.0,0.2,1.2,16.7,0.0,0.5,0.0,0.2,0.2,100.0,0.2,0.5,33.3,0.2,0.7,33.3
Bam Adebayo,/stats/player/1628389/,MIA,22.0,4.3,6.0,70.7,1.5,3.4,44.4,0.3,1.3,22.3,0.0,0.1,0.0,0.0,0.1,25.0,0.0,0.1,12.5,0.0,0.1,20.0
Ben McLemore,/stats/player/203463/,HOU,27.0,0.8,1.2,70.7,0.0,0.1,20.0,0.0,0.0,100.0,0.4,1.0,42.9,0.5,1.1,47.3,0.9,2.0,45.1,1.6,4.3,37.9
Ben Simmons,/stats/player/1627732/,PHI,23.0,5.5,8.1,68.0,1.0,2.9,34.1,0.1,0.3,25.0,0.0,0.0,50.0,0.0,0.0,100.0,0.0,0.1,66.7,0.0,0.0,0.0
Bismack Biyombo,/stats/player/202687/,CHA,27.0,2.4,3.5,68.4,0.4,1.5,26.3,0.0,0.2,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blake Griffin,/stats/player/201933/,DET,31.0,2.8,5.1,54.9,0.4,1.8,25.0,0.2,0.8,20.0,0.2,0.8,20.0,0.1,0.6,10.0,0.2,1.4,16.0,1.3,4.8,26.4
Boban Marjanovic,/stats/player/1626246/,DAL,31.0,2.0,2.6,77.6,0.6,1.5,40.7,0.2,0.7,35.7,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.1,0.4,18.8
Bobby Portis,/stats/player/1626171/,NYK,25.0,1.4,2.3,60.0,0.9,1.8,47.9,0.8,2.0,38.6,0.2,0.4,52.2,0.1,0.3,25.0,0.2,0.6,41.0,0.8,2.2,34.0
Bogdan Bogdanovic,/stats/player/203992/,SAC,27.0,1.2,1.9,61.2,0.9,1.8,48.1,0.8,1.7,49.5,0.3,0.7,36.4,0.3,0.8,34.8,0.5,1.5,35.6,2.2,5.7,37.7
Bojan Bogdanovic,/stats/player/202711/,UTA,31.0,2.2,3.7,60.8,1.1,2.8,38.8,0.3,1.1,27.9,0.5,0.9,50.0,0.6,1.5,42.6,1.1,2.4,45.4,1.9,4.8,39.3
Bol Bol,/stats/player/1629626/,DEN,20.0,1.2,1.5,77.8,0.5,0.8,60.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.3,0.0,0.7,1.0,66.7
Brad Wanamaker,/stats/player/202954/,BOS,30.0,1.2,1.9,63.2,0.3,1.0,28.4,0.3,0.7,37.7,0.0,0.0,66.7,0.0,0.0,66.7,0.1,0.1,66.7,0.5,1.4,34.4
Bradley Beal,/stats/player/203078/,WAS,27.0,4.1,6.4,65.0,1.3,3.3,39.9,2.0,4.8,41.3,0.2,0.7,36.8,0.1,0.4,21.7,0.3,1.1,31.1,2.6,7.4,36.0
Brandon Clarke,/stats/player/1629634/,MEM,23.0,3.2,4.3,74.2,1.3,2.3,58.2,0.2,0.6,32.4,0.1,0.2,33.3,0.1,0.3,31.3,0.2,0.5,32.1,0.2,0.6,40.0
