Name,URL,Team,Age,RestrictArea_FGM,RestrictArea_FGA,RestrictArea_FGpercent,Paint_FGM,Paint_FGA,Paint_FGpercent,MidRange_FGM,MidRange_FGA,MidRange_FGpercent,LeftCorner3_FGM,LeftCorner3_FGA,LeftCorner3_FGpercent,RightCorner3_FGM,RightCorner3_FGA,RightCorner3_FGpercent,Totals_FGM,Totals_FGA,Totals_FGpercent,AboveBreak3_FGM,AboveBreak3_FGA,AboveBreak3_FGpercent
AJ Price,/stats/player/201985/,MIN,27.0,0.1,0.1,100.0,0.1,0.1,100.0,0.4,0.8,45.0,0.0,0.0,0.0,0.1,0.1,100.0,0.1,0.1,100.0,0.2,0.9,23.8
Aaron Brooks,/stats/player/201166/,DEN,29.0,1.0,2.1,48.9,0.5,1.6,33.3,0.5,1.2,38.6,0.2,0.3,55.6,0.1,0.3,33.3,0.3,0.6,43.6,1.1,2.9,38.0
Aaron Gray,/stats/player/201189/,SAC,29.0,0.4,0.8,48.3,0.3,0.7,41.7,0.1,0.2,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adonis Thomas,/stats/player/203519/,PHI,21.0,0.2,0.3,50.0,0.4,0.4,100.0,0.3,0.8,40.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.2,0.5,33.3
Al Harrington,/stats/player/1733/,WAS,34.0,1.2,2.1,57.4,0.1,0.5,16.7,0.2,0.6,28.6,0.2,0.4,41.7,0.3,0.6,46.2,0.4,0.8,44.0,0.7,2.3,30.7
Al Horford,/stats/player/201143/,ATL,28.0,3.8,5.0,75.3,1.2,2.8,45.0,3.0,6.3,48.1,0.1,0.2,40.0,0.1,0.2,33.3,0.1,0.4,36.4,0.0,0.0,0.0
Al Jefferson,/stats/player/2744/,CHA,29.0,4.1,6.1,66.9,2.6,5.2,51.3,2.8,7.4,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,30.0
Al-Farouq Aminu,/stats/player/202329/,NOP,23.0,2.0,3.2,62.0,0.3,0.9,28.2,0.5,1.5,35.8,0.1,0.2,41.7,0.1,0.3,31.6,0.1,0.4,35.5,0.0,0.2,11.8
Alan Anderson,/stats/player/101187/,BKN,31.0,0.8,1.2,62.5,0.2,0.5,29.3,0.5,1.3,38.0,0.2,0.6,37.0,0.1,0.6,21.7,0.4,1.2,29.3,0.7,2.0,37.0
Alec Burks,/stats/player/202692/,UTA,22.0,2.6,4.3,59.6,0.6,1.5,39.8,1.1,3.0,35.2,0.1,0.3,47.4,0.1,0.3,31.6,0.2,0.5,39.5,0.4,1.2,36.5
Alex Len,/stats/player/203458/,PHX,21.0,0.6,1.0,56.1,0.2,0.4,42.9,0.1,0.6,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexey Shved,/stats/player/203144/,MIN,25.0,0.6,1.2,53.3,0.0,0.3,10.5,0.1,0.7,9.8,0.1,0.2,25.0,0.1,0.2,60.0,0.1,0.3,38.5,0.4,1.4,28.7
Alexis Ajinca,/stats/player/201582/,NOP,26.0,1.4,2.3,63.3,0.4,0.8,50.0,0.6,1.4,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Crabbe,/stats/player/203459/,POR,22.0,0.3,0.7,37.5,0.1,0.3,33.3,0.1,0.5,25.0,0.3,0.7,50.0,0.0,0.0,0.0,0.3,0.5,50.0,0.3,0.8,40.0
Alonzo Gee,/stats/player/202087/,CLE,27.0,0.9,1.5,61.2,0.1,0.4,36.4,0.2,0.9,19.0,0.2,0.4,40.9,0.1,0.5,31.6,0.2,0.7,36.6,0.1,0.3,25.0
Amar'e Stoudemire,/stats/player/2405/,NYK,31.0,2.9,4.4,65.7,0.6,1.3,48.8,1.3,2.9,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Johnson,/stats/player/101161/,TOR,27.0,2.8,4.1,68.7,0.9,1.8,48.6,0.5,1.2,44.1,0.0,0.1,50.0,0.0,0.2,8.3,0.0,0.2,18.8,0.2,0.7,34.0
Anderson Varejao,/stats/player/2760/,CLE,31.0,1.6,3.0,54.9,0.7,1.5,46.0,1.2,2.4,47.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Andray Blatche,/stats/player/101154/,BKN,27.0,2.6,4.0,63.8,0.5,1.3,39.8,1.1,3.2,35.0,0.0,0.1,40.0,0.0,0.2,30.0,0.1,0.2,33.3,0.1,0.5,29.4
Andre Drummond,/stats/player/203083/,DET,20.0,5.5,8.2,67.2,0.4,1.2,30.9,0.0,0.1,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andre Iguodala,/stats/player/2738/,GSW,30.0,1.6,2.3,70.1,0.3,0.8,40.4,0.5,1.3,40.5,0.2,0.5,35.5,0.3,0.7,40.0,0.4,1.1,38.0,0.6,1.6,34.0
Andre Miller,/stats/player/1889/,WAS,38.0,0.9,1.7,56.1,0.4,1.2,35.3,0.3,0.8,36.4,0.0,0.0,100.0,0.0,0.0,100.0,0.1,0.1,100.0,0.1,0.2,61.5
Andre Roberson,/stats/player/203460/,OKC,22.0,0.8,1.3,63.3,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.1,0.3,50.0,0.1,0.3,25.0,0.0,0.1,0.0
Andrea Bargnani,/stats/player/200745/,NYK,28.0,1.6,2.8,57.6,0.9,2.1,43.8,2.0,4.5,45.5,0.0,0.1,50.0,0.0,0.0,0.0,0.0,0.0,50.0,0.7,2.5,27.4
Andrei Kirilenko,/stats/player/1905/,BKN,33.0,1.5,2.4,62.4,0.2,0.4,45.0,0.1,0.6,15.4,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,33.3
Andrew Bogut,/stats/player/101106/,GSW,29.0,2.8,4.1,69.0,0.6,1.4,45.1,0.1,0.1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Bynum,/stats/player/101115/,IND,26.0,1.4,2.9,48.7,1.4,3.3,41.9,0.8,2.4,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Nicholson,/stats/player/203094/,ORL,24.0,0.6,0.8,68.8,0.4,1.0,38.5,1.0,2.5,41.3,0.3,0.9,32.1,0.2,0.5,32.1,0.4,1.2,32.1,0.0,0.1,28.6
Andris Biedrins,/stats/player/2740/,UTA,28.0,0.2,0.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
