Name,URL,Team,Age,RestrictArea_FGM,RestrictArea_FGA,RestrictArea_FGpercent,Paint_FGM,Paint_FGA,Paint_FGpercent,MidRange_FGM,MidRange_FGA,MidRange_FGpercent,LeftCorner3_FGM,LeftCorner3_FGA,LeftCorner3_FGpercent,RightCorner3_FGM,RightCorner3_FGA,RightCorner3_FGpercent,Totals_FGM,Totals_FGA,Totals_FGpercent,AboveBreak3_FGM,AboveBreak3_FGA,AboveBreak3_FGpercent
John Collins,/stats/player/1628381/,ATL,20.0,3.4,4.9,69.3,0.4,1.0,38.0,0.3,0.9,32.8,0.1,0.2,38.9,0.1,0.2,29.4,0.2,0.5,34.3,0.0,0.1,33.3
John Henson,/stats/player/203089/,MIL,27.0,2.8,4.1,67.3,0.7,1.7,44.1,0.3,0.7,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,25.0
John Holland,/stats/player/204066/,CLE,29.0,0.3,0.6,41.7,0.1,0.2,33.3,0.0,0.4,0.0,0.2,0.4,40.0,0.0,0.4,0.0,0.1,0.7,20.0,0.4,1.2,34.6
John Wall,/stats/player/202322/,WAS,27.0,3.4,5.5,61.5,0.5,1.6,31.3,1.4,5.1,28.1,0.0,0.0,50.0,0.1,0.2,83.3,0.1,0.2,75.0,1.4,3.8,35.9
Johnathan Motley,/stats/player/1628405/,DAL,23.0,2.3,3.4,67.6,0.9,2.0,45.5,0.4,0.9,40.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,25.0
Johnny O'Bryant III,/stats/player/203948/,CHA,25.0,0.7,1.2,60.0,0.2,0.9,27.6,0.6,1.6,37.3,0.0,0.1,0.0,0.0,0.1,50.0,0.0,0.1,25.0,0.4,1.1,35.1
Jon Leuer,/stats/player/202720/,DET,29.0,1.3,1.9,66.7,0.3,1.0,25.0,0.4,1.3,30.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.1,0.0
Jonas Jerebko,/stats/player/201973/,UTA,31.0,0.9,1.4,66.7,0.2,0.7,28.3,0.1,0.4,37.9,0.3,0.6,51.3,0.3,0.5,54.8,0.5,1.0,52.9,0.4,1.2,32.2
Jonas Valanciunas,/stats/player/202685/,TOR,26.0,3.1,4.5,68.0,1.2,2.6,47.2,0.4,0.8,43.8,0.1,0.1,80.0,0.0,0.0,0.0,0.1,0.1,66.7,0.3,0.9,38.2
Jonathan Gibson,/stats/player/1626780/,BOS,30.0,1.3,1.5,83.3,0.3,0.8,33.3,0.5,0.5,100.0,0.3,0.3,100.0,0.0,0.0,0.0,0.3,0.3,100.0,1.3,2.8,45.5
Jonathan Isaac,/stats/player/1628371/,ORL,20.0,1.0,1.4,73.7,0.2,0.5,35.7,0.2,1.7,12.8,0.1,0.2,33.3,0.1,0.5,23.1,0.2,0.7,26.3,0.4,1.0,40.7
Jonathon Simmons,/stats/player/203613/,ORL,28.0,2.3,3.5,66.0,1.0,2.5,38.7,0.8,2.0,40.7,0.2,0.6,34.2,0.1,0.3,31.6,0.3,0.8,33.3,0.7,2.1,34.5
Jordan Bell,/stats/player/1628395/,GSW,23.0,1.6,2.3,69.9,0.2,0.5,48.1,0.2,0.4,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Jordan Clarkson,/stats/player/203903/,CLE,26.0,2.0,3.3,59.9,0.8,1.8,42.7,1.2,2.8,42.9,0.2,0.5,51.4,0.1,0.2,31.6,0.3,0.7,44.6,1.1,3.2,33.1
Jordan Crawford,/stats/player/202348/,NOP,29.0,0.2,0.4,50.0,0.4,1.0,40.0,0.2,1.2,16.7,0.5,0.5,100.0,0.0,0.0,0.0,0.3,0.3,100.0,1.4,2.6,53.8
Jordan Mickey,/stats/player/1626175/,MIA,23.0,1.3,2.1,60.4,0.3,0.6,46.2,0.1,0.2,40.0,0.1,0.3,25.0,0.1,0.2,33.3,0.1,0.4,28.6,0.0,0.4,0.0
Jose Calderon,/stats/player/101181/,CLE,36.0,0.5,0.7,69.4,0.1,0.2,36.4,0.4,0.8,47.6,0.0,0.1,50.0,0.2,0.3,63.6,0.2,0.3,60.0,0.6,1.4,43.2
Josh Gray,/stats/player/1627982/,PHX,24.0,1.2,3.2,37.5,0.0,1.0,0.0,0.4,1.4,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,2.6,23.1
Josh Hart,/stats/player/1628404/,LAL,23.0,1.3,2.1,64.9,0.1,0.3,22.2,0.1,0.5,31.0,0.2,0.4,56.0,0.1,0.3,40.0,0.3,0.6,50.0,0.9,2.5,36.9
Josh Huestis,/stats/player/203962/,OKC,26.0,0.4,0.8,44.4,0.0,0.1,20.0,0.0,0.1,33.3,0.1,0.4,25.0,0.1,0.3,27.8,0.2,0.6,26.2,0.3,1.0,29.2
Josh Jackson,/stats/player/1628367/,PHX,21.0,2.6,4.6,57.2,0.8,2.4,34.1,0.9,2.3,37.7,0.1,0.4,33.3,0.1,0.4,22.2,0.2,0.7,27.8,0.5,2.1,26.3
Josh Magette,/stats/player/203705/,ATL,28.0,0.0,0.1,0.0,0.1,0.5,25.0,0.3,0.9,33.3,0.0,0.1,0.0,0.1,0.1,100.0,0.1,0.1,50.0,0.4,1.1,38.9
Josh McRoberts,/stats/player/201177/,DAL,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Josh Richardson,/stats/player/1626196/,MIA,24.0,1.6,2.6,60.7,0.6,1.5,40.3,1.2,2.7,43.5,0.2,0.6,28.9,0.2,0.5,39.0,0.4,1.1,33.7,1.2,3.1,39.4
Josh Smith,/stats/player/2746/,NOP,32.0,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jrue Holiday,/stats/player/201950/,NOP,28.0,3.4,5.3,64.4,1.6,3.3,47.9,1.1,2.3,46.8,0.2,0.5,43.2,0.1,0.4,15.6,0.3,0.9,30.4,1.2,3.5,34.7
Juancho Hernangomez,/stats/player/1627823/,DEN,22.0,0.5,0.8,68.4,0.0,0.2,20.0,0.0,0.0,100.0,0.2,0.3,60.0,0.3,0.9,33.3,0.4,0.9,41.2,0.3,1.4,21.2
Julius Randle,/stats/player/203944/,LAL,23.0,4.9,7.1,68.7,0.9,2.5,34.5,0.3,0.8,31.9,0.0,0.0,66.7,0.0,0.0,0.0,0.0,0.1,40.0,0.1,0.5,21.1
Julyan Stone,/stats/player/202933/,CHA,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,50.0,0.2,0.3,50.0,0.2,0.5,50.0,0.1,0.2,40.0
Justin Anderson,/stats/player/1626147/,PHI,24.0,1.1,1.7,65.2,0.1,0.5,20.0,0.2,0.4,42.9,0.1,0.4,25.0,0.2,0.6,33.3,0.3,0.9,30.0,0.7,1.9,35.2
Justin Holiday,/stats/player/203200/,CHI,29.0,0.8,1.6,49.2,0.2,0.8,29.8,0.8,2.2,34.4,0.3,0.7,44.9,0.4,1.3,31.9,0.7,1.9,36.4,1.5,4.3,35.9
Justin Jackson,/stats/player/1628382/,SAC,23.0,0.9,1.2,75.9,0.4,0.9,44.3,0.6,1.3,42.2,0.3,0.7,41.9,0.2,0.6,31.3,0.4,1.2,37.3,0.4,1.6,26.9
Justin Patton,/stats/player/1628383/,MIN,21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justise Winslow,/stats/player/1626159/,MIA,22.0,1.7,3.1,54.5,0.5,1.4,33.3,0.2,0.8,22.8,0.2,0.5,34.4,0.3,0.6,42.5,0.4,1.1,38.9,0.3,0.8,39.6
Jusuf Nurkic,/stats/player/203994/,POR,23.0,3.9,6.5,60.6,1.3,3.1,40.2,0.9,2.3,37.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Kadeem Allen,/stats/player/1628443/,BOS,25.0,0.4,0.7,62.5,0.0,0.1,0.0,0.1,0.2,50.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.4,0.0
Karl-Anthony Towns,/stats/player/1626157/,MIN,22.0,3.8,5.4,70.0,1.4,3.1,46.2,1.1,2.3,47.9,0.2,0.3,55.6,0.1,0.3,55.0,0.3,0.6,55.3,1.1,2.9,39.7
