Name,URL,Team,Age,RestrictArea_FGM,RestrictArea_FGA,RestrictArea_FGpercent,Paint_FGM,Paint_FGA,Paint_FGpercent,MidRange_FGM,MidRange_FGA,MidRange_FGpercent,LeftCorner3_FGM,LeftCorner3_FGA,LeftCorner3_FGpercent,RightCorner3_FGM,RightCorner3_FGA,RightCorner3_FGpercent,Totals_FGM,Totals_FGA,Totals_FGpercent,AboveBreak3_FGM,AboveBreak3_FGA,AboveBreak3_FGpercent
AJ Price,/stats/player/201985/,IND,25.0,0.2,0.4,47.1,0.1,0.4,23.5,0.5,1.2,40.4,0.0,0.0,100.0,0.1,0.2,42.9,0.1,0.2,50.0,0.5,1.9,28.2
Aaron Gray,/stats/player/201189/,TOR,27.0,1.3,2.1,61.8,0.3,0.8,35.0,0.1,0.4,31.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al Harrington,/stats/player/1733/,DEN,32.0,2.9,4.9,58.3,0.3,0.7,39.5,0.7,1.8,38.9,0.3,0.9,32.7,0.3,0.5,54.5,0.6,1.4,40.9,1.0,3.3,30.5
Al Horford,/stats/player/201143/,ATL,26.0,3.1,4.4,70.8,0.8,1.6,50.0,1.3,3.3,38.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
Al Jefferson,/stats/player/2744/,UTA,27.0,3.1,4.8,65.0,2.5,5.3,47.4,2.8,7.0,40.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,25.0
Al-Farouq Aminu,/stats/player/202329/,NOH,21.0,1.3,2.5,53.3,0.3,0.9,31.1,0.5,1.4,32.6,0.0,0.2,10.0,0.1,0.1,42.9,0.1,0.3,23.5,0.1,0.5,30.0
Alan Anderson,/stats/player/101187/,TOR,29.0,0.8,1.3,63.6,0.2,0.8,23.1,0.8,2.7,30.4,0.3,0.5,50.0,0.3,0.7,36.4,0.4,1.1,41.2,1.0,2.6,38.6
Alec Burks,/stats/player/202692/,UTA,20.0,1.5,2.5,60.3,0.3,0.9,26.8,0.6,1.9,31.8,0.1,0.2,22.2,0.1,0.1,66.7,0.1,0.3,33.3,0.2,0.5,35.5
Alonzo Gee,/stats/player/202087/,CLE,25.0,2.1,3.8,56.1,0.2,1.2,16.2,0.6,1.6,36.9,0.2,0.5,32.1,0.1,0.5,25.0,0.3,0.9,28.6,0.4,1.3,34.6
Amar'e Stoudemire,/stats/player/2405/,NYK,29.0,4.1,6.0,67.3,0.8,2.5,31.1,1.8,4.9,36.1,0.0,0.0,0.0,0.0,0.1,16.7,0.0,0.2,12.5,0.1,0.3,33.3
Amir Johnson,/stats/player/101161/,TOR,25.0,2.1,3.0,70.7,0.4,0.8,46.9,0.6,1.5,37.9,0.0,0.0,0.0,0.0,0.1,66.7,0.0,0.0,66.7,0.0,0.0,0.0
Anderson Varejao,/stats/player/2760/,CLE,29.0,3.6,5.8,62.5,0.4,1.4,28.6,0.6,1.6,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Andray Blatche,/stats/player/101154/,WAS,25.0,1.6,2.8,56.2,0.5,1.6,29.3,1.5,4.8,30.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,33.3
Andre Emmett,/stats/player/2765/,NJN,29.0,0.6,0.8,75.0,0.3,0.3,100.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
Andre Iguodala,/stats/player/2738/,PHI,28.0,1.8,2.6,71.3,0.3,0.8,42.6,1.2,3.7,33.2,0.1,0.3,44.4,0.2,0.3,50.0,0.3,0.6,47.2,1.0,2.5,38.1
Andre Miller,/stats/player/1889/,DEN,36.0,2.0,3.3,60.2,0.6,1.6,36.1,0.8,2.1,37.1,0.0,0.2,10.0,0.0,0.1,22.2,0.0,0.3,15.8,0.2,0.8,25.9
Andrea Bargnani,/stats/player/200745/,TOR,26.0,1.9,3.2,59.0,0.9,2.1,43.8,2.8,6.6,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.1,3.6,30.1
Andres Nocioni,/stats/player/2804/,PHI,32.0,0.2,0.3,66.7,0.2,0.6,28.6,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.5,20.0
Andrew Bogut,/stats/player/101106/,MIL,27.0,3.2,4.7,67.9,1.2,4.7,25.0,0.8,1.9,39.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
