Name,URL,Team,Age,RestrictArea_FGM,RestrictArea_FGA,RestrictArea_FGpercent,Paint_FGM,Paint_FGA,Paint_FGpercent,MidRange_FGM,MidRange_FGA,MidRange_FGpercent,LeftCorner3_FGM,LeftCorner3_FGA,LeftCorner3_FGpercent,RightCorner3_FGM,RightCorner3_FGA,RightCorner3_FGpercent,Totals_FGM,Totals_FGA,Totals_FGpercent,AboveBreak3_FGM,AboveBreak3_FGA,AboveBreak3_FGpercent
Aaron Gordon,/stats/player/203932/,ORL,23.0,3.1,4.9,63.4,0.6,1.8,34.3,0.7,2.3,33.0,0.2,0.7,32.7,0.2,0.5,47.5,0.5,1.2,39.1,1.1,3.2,33.9
Aaron Holiday,/stats/player/1628988/,IND,22.0,0.6,1.1,57.7,0.3,0.7,36.1,0.4,1.0,40.4,0.1,0.2,33.3,0.1,0.3,30.0,0.1,0.4,31.3,0.8,2.2,34.5
Abdel Nader,/stats/player/1627846/,OKC,25.0,0.7,1.3,55.1,0.2,0.5,46.7,0.0,0.1,25.0,0.1,0.5,30.0,0.2,0.5,45.0,0.3,0.8,37.5,0.3,1.0,29.3
Al Horford,/stats/player/201143/,BOS,33.0,2.2,3.0,71.8,1.1,2.1,51.0,1.4,2.5,54.7,0.1,0.1,44.4,0.0,0.2,16.7,0.1,0.3,28.6,1.0,2.7,36.8
Al-Farouq Aminu,/stats/player/202329/,POR,28.0,1.7,2.7,60.4,0.2,0.7,35.1,0.1,0.4,20.0,0.2,0.6,32.6,0.2,0.7,35.4,0.4,1.2,34.0,0.8,2.3,34.6
Alan Williams,/stats/player/1626210/,BKN,26.0,0.8,1.0,80.0,0.6,1.2,50.0,0.3,0.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
Alec Burks,/stats/player/202692/,SAC,27.0,1.4,2.5,56.7,0.3,1.2,26.0,0.3,1.1,30.6,0.1,0.4,33.3,0.1,0.2,40.0,0.2,0.5,35.3,0.8,2.1,37.1
Alex Abrines,/stats/player/203518/,OKC,25.0,0.3,0.6,55.6,0.0,0.1,0.0,0.2,0.3,50.0,0.2,0.6,33.3,0.2,0.4,41.7,0.3,0.9,37.0,1.0,3.2,31.6
Alex Caruso,/stats/player/1627936/,LAL,25.0,1.7,3.5,50.0,0.3,1.0,28.0,0.2,0.7,33.3,0.2,0.4,42.9,0.1,0.3,20.0,0.2,0.6,33.3,0.8,1.5,52.6
Alex Len,/stats/player/203458/,ATL,26.0,2.8,4.5,62.0,0.3,0.9,33.8,0.1,0.4,29.0,0.2,0.5,35.0,0.3,0.9,37.5,0.5,1.4,36.5,0.5,1.3,36.4
Alex Poythress,/stats/player/1627816/,ATL,25.0,1.4,2.5,56.6,0.0,0.1,33.3,0.0,0.1,0.0,0.2,0.6,36.4,0.2,0.4,57.1,0.4,0.9,44.4,0.0,0.2,20.0
Alfonzo McKinnie,/stats/player/1628035/,GSW,26.0,1.1,1.7,66.4,0.1,0.3,36.8,0.1,0.3,31.6,0.3,0.6,43.2,0.1,0.4,23.1,0.3,0.9,34.9,0.3,0.8,36.4
Alize Johnson,/stats/player/1628993/,IND,23.0,0.2,0.5,33.3,0.1,0.2,33.3,0.0,0.4,0.0,0.2,0.2,100.0,0.0,0.0,0.0,0.1,0.1,100.0,0.0,0.1,0.0
Allen Crabbe,/stats/player/203459/,BKN,27.0,0.5,0.8,55.6,0.2,0.6,26.9,0.3,1.2,24.5,0.4,0.7,51.7,0.4,0.8,46.9,0.7,1.4,49.2,1.6,4.5,34.4
Allonzo Trier,/stats/player/1629019/,NYK,23.0,1.8,3.3,55.7,0.2,0.8,30.6,0.7,2.0,37.6,0.0,0.2,27.3,0.1,0.2,45.5,0.1,0.3,36.4,0.7,1.7,40.0
Amile Jefferson,/stats/player/1628518/,ORL,26.0,0.8,1.0,75.0,0.1,0.4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amir Johnson,/stats/player/101161/,PHI,32.0,1.0,1.5,69.3,0.3,0.7,34.2,0.0,0.1,50.0,0.0,0.1,0.0,0.0,0.1,25.0,0.0,0.2,14.3,0.2,0.6,34.4
Andre Drummond,/stats/player/203083/,DET,25.0,5.8,9.4,61.6,1.1,2.9,37.9,0.1,0.5,24.3,0.0,0.1,25.0,0.0,0.0,0.0,0.0,0.1,14.3,0.1,0.3,16.7
Andre Iguodala,/stats/player/2738/,GSW,35.0,1.3,1.6,83.3,0.1,0.3,29.4,0.1,0.5,24.2,0.2,0.5,35.5,0.2,0.5,46.7,0.4,0.9,41.0,0.3,1.2,28.0
Andre Ingram,/stats/player/201281/,LAL,33.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.0
